Longitude,Latitude,Title,TYPE_EXPL,FACILITY_ADDRESS
-122.022219193862,36.9796232582382,County Probation Office,County Owned Building,303 Water St 95060
-122.020140356029,36.9810053358477,County Offices Child Support Services,County Owned Building,440 May Ave 95060
-122.020092354482,36.980677922045,County Offices Child Support Services,County Owned Building,420 May Ave 95060
-122.004114625507,36.9902964151463,Church Of Latter Day Saints,Church,"220 Elk St, Santa Cruz 95065"
-122.003503475901,36.9895448530276,Church Of Christ,Church,"637 Pacheco Ave, Santa Cruz 95065"
-121.996021890796,36.9906354435653,De Laveaga Elementary,School,"1145 Morrissey Blvd, Santa Cruz"
-122.009387582725,36.9840128697579,Branciforte Middle,School,"315 Poplar St, Santa Cruz"
-122.00743607572,36.982851087843,Trinity Presbyterian Church,Church,"420 Melrose Ave, Santa Cruz 95062"
-121.99834869377,36.987180797262,Santa Cruz Community Church,Church,"411 Roxas St, Santa Cruz 95062"
-121.998583100115,36.987258223132,Phoenix Community School,School,411 Roxas Ave
-121.998077378769,36.9870539265358,Seabright Community School,School,411 Roxas Ave
-121.995549574989,36.9875769245704,Santa Cruz Adult Education,School,"319 La Fonda Ave, Santa Cruz"
-121.992903227657,36.9857872077331,Harbor High,School,"300 La Fonda Ave, Santa Cruz"
-121.99053026168,36.9869205908291,SCCS Transport & Maintenance Yard,School,300 La Fonda
-121.995901736133,36.9951261740422,Santa Cruz Regional 9-1-1,County Owned Building,495 Upper Park Rd 95065
-121.996086821627,36.9953256416075,City of Santa Cruz Emergency Ops Center,EOC,495 Upper Park Rd 95065
-122.005289530675,36.9837828011842,Alexandria Victoria Assisted Living,Rest-Nursing-Group Home,226 Morrissey Blvd S.C.  95062
-121.997619434746,36.9823399870507,Sutter Health / PAMF Urgent Care,Clinic,"2025 Soquel Avenue, Santa Cruz"
-122.013650387466,36.9811346855646,Monarch Elementary,School,840 North Branciforte Avenue
-122.013798396145,36.9808103968939,Ark Independent Studies,School,840 North Branciforte Avenue
-122.012316259431,36.9811214722938,Alternative Family Education,School,840 North Branciforte Avenue
-122.013730314532,36.9809715104847,Costanoa Continuation High,School,840 North Branciforte Avenue
-122.010972018885,36.9807925731049,Church Of Scientology,Church,"1729 Seabright Ave, Santa Cruz 95062"
-122.01227630274,36.979284667584,Santa Cruz Fire Station 2,Fire Station,1103 Soquel Ave 95062
-122.012055876606,36.9772477415363,Maple House,Rest-Nursing-Group Home,"410 Pennsylvania Ave, S.C. 95062"
-122.011033070491,36.9780316979552,Seventh Day Adventist,Church,"1024 Cayuga St, Santa Cruz 95062"
-122.009339866027,36.9763171938744,Bayside Baptist Church,Church,"1335 Seabright Ave, Santa Cruz 95062"
-122.007651117026,36.9796388242708,Darwin House,Rest-Nursing-Group Home,707 Darwin St Santa Cruz Ca  95062
-122.007378139771,36.9791554870959,Branciforte Library,Library,"230 Gault St, Santa Cruz"
-122.006686070184,36.9802528101834,Faith Community Church,Church,"115 S. Morrissey Ave, Santa Cruz 95062"
-122.006597753799,36.9800019615833,Church Of The Nazarene,Church,"115 S. Morrissey Ave, Santa Cruz 95062"
-122.008196514151,36.9760797776897,Gault Elementary,School,"1320 Seabright Ave, Santa Cruz"
-122.004137942459,36.977551913372,Our Lady Star Of The Sea,Church,"515 Frederick St, Santa Cruz 95062"
-122.00453456068,36.9776545164812,Star Community School,School,515 Frederick St.
-122.002331689492,36.977092329393,Santa Cruz Bible Church,Church,"440 Frederick St, Santa Cruz 95062"
-121.995799542795,36.9824071096005,Wellbound of Santa Cruz,Clinic,2128 Soquel Ave
-122.004994225379,36.9794298337911,La Posada Retirement,Rest-Nursing-Group Home,609 Frederick St Santa Cruz Ca  95062
-122.005585372991,36.9797137037424,Santa Cruz Children's School,School,"366 Gault St, Santa Cruz"
-122.006677032528,36.9786967694697,Hanover Guest House,Rest-Nursing-Group Home,813 Hanover St Santa Cruz Ca  95062
-121.777797908248,36.9379721822228,Freedom Library,Library,"2021 Freedom Blvd, Freedom"
-121.775690536229,36.9356229241897,Cornerstone United Pentecostal Church,Church,"302 Carey Ave, Freedom 95019"
-121.786092872733,36.9245926556476,Rolling Hills Middle,School,"130 Herman Ave, Watsonville"
-121.785251233039,36.9250915655444,Duncan Holbert,School,140 Herman Ave.
-121.787990402584,36.9224753249269,Church Of Christ,Church,"198 Holm Rd, Watsonville 95076"
-121.792990221044,36.9271208282848,Watsonville Community Hospital,Hospital,"75 Nielson St, Watsonville"
-121.792720443156,36.9264583467943,Clinica Del Valle,Clinic,"45 Nielson St, Watsonville"
-121.7928800234,36.9276017360006,Hospice of Santa Cruz County,Clinic,65 NIELSON ST
-121.777855240453,36.9299432035818,Satellite Healthcare (Dialysis Center) ,Clinic,40 Penny Lane Ste 1 Wts 95076
-121.781554771435,36.9302236525496,Freedom Elementary,School,"25 Holly Dr, Freedom"
-121.785631392731,36.9333758499371,Watsonville Fire Station 2,Fire Station,370 Airport Blvd 95076
-121.785702051467,36.9334637609552,Watsonville Emergency Operations Center,EOC,370 Airport Blvd 95076
-121.783700474416,36.9332846797313,Grace Temple,Church,"311 Airport Blvd, Freedom 95019"
-121.76725187704,36.9261610424729,Lutheran Community Church,Church,"95 Alta Vista Ave, Watsonville 95076"
-121.760614164886,36.916995781105,Family Faith Center,Church,"801 Freedom Blvd, Watsonville 95076"
-121.760898781318,36.9192603831192,Valley Convalescent Hospital,Rest-Nursing-Group Home,919 Freedom Blvd Watsonville Ca  95076
-121.767274606544,36.919784511625,WATSONVILLE POST ACUTE CENTER,Rest-Nursing-Group Home,525 Auto Center Dr Watsonvlle 95076
-121.767012438236,36.9195067862502,WATSONVILLE NURSING CENTER,Rest-Nursing-Group Home,535 Auto Center Dr Watsonville 95076
-121.77243325658,36.9216141061992,Starlight Elementary,School,"225 Hammer Dr, Watsonville"
-121.77325470961,36.9236131913033,Diamond Technology Institute,School,"112 Diamond Drive, Watsonville"
-121.775448062231,36.9315301097968,Green Valley Christian School,School,"376 S. Green Valley Rd, Watsonville"
-121.779204700205,36.925979696169,Sutter Health Walk-In Clinic,Clinic,"550 South Green Valley Rd, Watsonville"
-121.776556905059,36.9304094846111,Planned Parenthood,Clinic,398 S. Green Valley Rd
-121.769876170572,36.9218696119024,Arthur Road Baptist Church,Church,"360 Arthur Rd, Watsonville 95076"
-121.769784986753,36.9209649187894,Cesar E. Chavez Middle,School,"440 Arthur Rd, Watsonville"
-121.768491915793,36.9253512845648,H. A. Hyde Elementary,School,"125 Alta Vista Ave, Watsonville"
-121.770382840618,36.9224054260478,Christian Science Church,Church,"352 Arthur Rd, Watsonville 95076"
-121.757545341968,36.9119159702456,La Manzana School,School,18 West Lake
-121.754268365033,36.9126353115049,Veterans Memorial Building,County Owned Building,215 E Beach St 95076
-121.751879317116,36.9146042125066,Paloma House Treatment Program,County Owned Building,321 E Beach St 95076
-121.754631406176,36.9112476543361,United Presbyterian Church,Church,"112 E. Beach St, Watsonville"
